command_name,category,description,channel,parameters,return_type,example_usage,file_location
default_camera_look_at,Camera/View,Set camera position and orientation to look at a target point,Reliable,"center: Vector3, vantage: Vector3, up: Vector3",Response from engine,"{type: 'default_camera_look_at', center: {x:0,y:0,z:0}, vantage: {x:100,y:100,z:100}, up: {x:0,y:0,z:1}}",src/clientSideScene/CameraControls.ts:227
camera_drag_move,Camera Interaction,Update camera position during drag interaction,Unreliable,"interaction: CameraDragInteractionType, window: {x: number, y: number}, sequence?: number",None (unreliable),"{type: 'camera_drag_move', interaction: 'rotate', window: {x:500,y:300}, sequence: 42}",src/clientSideScene/CameraControls.ts:246
camera_drag_start,Camera Interaction,Signal the start of a camera drag interaction,Reliable,"interaction: CameraDragInteractionType, window: {x: number, y: number}",Response with interaction state,"{type: 'camera_drag_start', interaction: 'rotate', window: {x:500,y:300}}",src/clientSideScene/CameraControls.ts:432
camera_drag_end,Camera Interaction,Signal the end of a camera drag interaction,Reliable,"interaction: CameraDragInteractionType, window: {x: number, y: number}",Camera settings response,"{type: 'camera_drag_end', interaction: 'rotate', window: {x:500,y:300}}",src/clientSideScene/CameraControls.ts:549
default_camera_zoom,Camera Control,Apply zoom transformation to camera,Unreliable,"magnitude: number, sequence?: number",None (unreliable),"{type: 'default_camera_zoom', magnitude: -5, sequence: 43}",src/clientSideScene/CameraControls.ts:269
default_camera_get_view,Camera Query,Retrieve current camera view state,Reliable,None,CameraViewState with position and orientation,"{type: 'default_camera_get_view'}",src/clientSideScene/CameraControls.ts:903
default_camera_set_view,Camera Control,Set camera to a specific view state,Reliable,view: CameraViewState,Response confirmation,"{type: 'default_camera_set_view', view: cameraViewState}",src/clientSideScene/CameraControls.ts:975
default_camera_get_settings,Camera Query,Get current camera settings and apply to client camera,Reliable,None,default_camera_get_settings response,"{type: 'default_camera_get_settings'}",src/clientSideScene/CameraControls.ts:984
default_camera_set_orthographic,Camera Projection,Switch camera to orthographic projection,Reliable,None,Response confirmation,"{type: 'default_camera_set_orthographic'}",src/clientSideScene/CameraControls.ts:638
default_camera_set_perspective,Camera Projection,Switch camera to perspective projection,Reliable,"parameters?: {fov_y?: number}",Response confirmation,"{type: 'default_camera_set_perspective', parameters: {fov_y: 45}}",src/clientSideScene/CameraControls.ts:680
default_camera_perspective_settings,Camera Control,Set combined perspective settings including position orientation and FOV,Unreliable,"center: Vector3, vantage: Vector3, up: Vector3, fov_y: number, sequence?: number",None (unreliable),"{type: 'default_camera_perspective_settings', center: {x:0,y:0,z:0}, vantage: {x:100,y:100,z:100}, up: {x:0,y:0,z:1}, fov_y: 45}",src/clientSideScene/CameraControls.ts:756
default_camera_center_to_selection,Camera Animation,Center camera on selected objects,Reliable,"padding?: number, animated?: boolean",Response confirmation,"{type: 'default_camera_center_to_selection', padding: 0.2, animated: true}",src/lib/utils.ts
zoom_to_fit,Camera Animation,Animate camera to fit objects in view,Reliable,"object_ids: string[], padding: number, animated: boolean",Response confirmation,"{type: 'zoom_to_fit', object_ids: [], padding: 0.2, animated: false}",src/clientSideScene/CameraControls.ts:1054
highlight_set_entity,Entity Highlighting,Highlight an entity at a screen location (hover effect),Unreliable,"selected_at_window: {x: number, y: number}, sequence?: number",None (unreliable),"{type: 'highlight_set_entity', selected_at_window: {x:0.5,y:0.3}, sequence: 45}",src/clientSideScene/CameraControls.ts:522
select_with_point,Selection,Select an entity at a screen location,Reliable,"selected_at_window: {x: number, y: number}, selection_type: string",select_with_point response with entity_id,"{type: 'select_with_point', selected_at_window: {x:0.5,y:0.3}, selection_type: 'add'}",src/lib/selections.ts:744
select_clear,Selection,Clear all selected entities,Reliable,None,Response confirmation,"{type: 'select_clear'}",src/lib/selections.ts:437
select_add,Selection,Add entities to selection,Reliable,entities: string[],Response confirmation,"{type: 'select_add', entities: ['entity-id-1', 'entity-id-2']}",src/lib/selections.ts:444
set_selection_filter,Selection,Set which entity types can be selected,Reliable,Entity type filter settings,Response confirmation,"{type: 'set_selection_filter', filter: {...}}",src/lib/selectionFilterUtils.ts
enable_sketch_mode,Sketch Mode,Enter sketch mode on a face or plane,Reliable,"entity_id: string, adjust_camera: boolean, animated: boolean, ortho: boolean",Response confirmation,"{type: 'enable_sketch_mode', entity_id: 'face-id-123', adjust_camera: true, animated: true, ortho: true}",src/clientSideScene/sceneEntities.ts:3754
sketch_mode_disable,Sketch Mode,Exit sketch mode,Reliable,None,Response confirmation,"{type: 'sketch_mode_disable'}",src/clientSideScene/sceneEntities.ts:3786
get_sketch_mode_plane,Sketch Mode Query,Get information about current sketch plane orientation,Reliable,None,GetSketchModePlane with plane axes,"{type: 'get_sketch_mode_plane'}",src/clientSideScene/sceneEntities.ts:3764
set_background_color,Rendering,Set the 3D viewport background color,Reliable,"color: {r: number, g: number, b: number, a: number}",Response confirmation,"{type: 'set_background_color', color: {r:0.1,g:0.1,b:0.1,a:1.0}}",src/network/connectionManager.ts:433
set_default_system_properties,Rendering,Set default color for system entities (edges normals etc),Reliable,"color: {r: number, g: number, b: number, a: number}",Response confirmation,"{type: 'set_default_system_properties', color: {r:0.9,g:0.9,b:0.9,a:1.0}}",src/network/connectionManager.ts:464
reconfigure_stream,Rendering/Stream,Reconfigure video stream dimensions,Reliable,"width: number, height: number, fps: number",Response confirmation,"{type: 'reconfigure_stream', width: 1920, height: 1080, fps: 60}",src/network/connectionManager.ts:910
object_visible,Object Visibility,Set visibility state of an object,Reliable,"object_id: string, hidden: boolean",Response confirmation,"{type: 'object_visible', object_id: 'object-uuid-123', hidden: true}",src/network/connectionManager.ts:1312
edge_lines_visible,Edge Visibility,Toggle edge lines visibility for objects,Reliable,"edge_lines_visible: boolean",Response confirmation,"{type: 'edge_lines_visible', edge_lines_visible: true}",src/network/connectionManager.ts
view_isometric,Predefined View,Switch to isometric view,Reliable,None,Response confirmation,"{type: 'view_isometric'}",src/lib/commandBarConfigs
export2d,Export,Export 2D geometry in DXF format,Reliable,"entity_id: string, format: string",Export file data,"{type: 'export2d', entity_id: 'sketch-id', format: 'dxf'}",src/lib/exportDxf.ts
